timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.39777499437332153,0.3783758503903768,0.031115731224417686,0.98371025390625,0.435810450455243
100,0.5699499845504761,0.4050925702191046,0.02464926615357399,0.98768408203125,0.494979436067839
150,0.8197749853134155,0.4032066096813816,0.027188768610358238,0.98893369140625,0.5701189705017609
200,1.0,0.4047818690117537,0.013950507156550884,0.9919453125,0.6226137246348362
250,1.0,0.4058548178031611,0.006465098354965448,0.9948388671875,0.6220172384494415
300,1.0,0.3576761534365203,0.0034601420629769564,0.9954962890625,0.6070941322560515
350,1.0,0.18487949428566988,0.001858204952441156,0.9979064453125,0.5554167783386892
400,1.0,-0.05686602272209313,0.001084269373677671,0.99891708984375,0.4829404650268576
450,1.0,-0.2133587711452662,0.0009964064229279757,0.99929365234375,0.43605038040975574
500,1.0,-0.29188306965375344,0.0010854580905288458,0.9995056640625,0.4125533035344797
